Considering the following 242 assemblies for download:
GCF_000026445.2	Mycobacterium liflandii 128FXT
GCF_003584745.1	Mycobacterium pseudoshottsii JCM 15466
GCF_002105755.1	Mycobacterium colombiense CECT 3035
GCF_002157835.1	Mycobacterium dioxanotrophicus
GCF_002285715.1	Mycobacterium marseillense
GCF_002356315.1	Mycobacterium shigaense
GCF_003515645.1	Mycobacterium shigaense
GCF_000276825.1	Mycobacterium paraintracellulare
GCF_000262165.1	Mycobacterium sp. MOTT36Y
GCF_000416365.2	Mycobacterium sp. VKM Ac-1817D
GCF_003614435.1	Mycobacterium paragordonae
GCF_001021385.1	Mycobacterium sp. EPa45
GCF_001611855.1	Mycobacterium sp. QIA-37
GCF_001580405.1	Mycobacterium sp. NRRL B-3805
GCF_001644575.1	Mycobacterium sp. YC-RL4
GCF_001695755.1	Mycobacterium sp. djl-10
GCF_001886515.1	Mycobacterium sp. WY10
GCF_002335685.1	Mycobacterium sp. PYR15
