Considering the following 400 assemblies for download:
GCF_002761315.1	Klebsiella pneumoniae
GCF_002761515.1	Klebsiella pneumoniae subsp. pneumoniae
GCF_002786755.1	Klebsiella pneumoniae
GCF_002787755.1	Klebsiella pneumoniae
GCF_002811325.2	Klebsiella pneumoniae
GCF_002811335.3	Klebsiella pneumoniae
GCF_002812365.1	Klebsiella pneumoniae
GCF_002812385.1	Klebsiella pneumoniae
GCF_002812665.1	Klebsiella pneumoniae
GCF_002813595.1	Klebsiella pneumoniae
GCF_002814015.1	Klebsiella pneumoniae
GCF_002833425.1	Klebsiella pneumoniae
GCF_002833445.1	Klebsiella pneumoniae
GCF_002833465.1	Klebsiella pneumoniae
GCF_002848545.1	Klebsiella pneumoniae
GCF_002848565.1	Klebsiella pneumoniae
GCF_002848585.1	Klebsiella pneumoniae
GCF_002852945.2	Klebsiella pneumoniae subsp. pneumoniae
GCF_002852975.2	Klebsiella pneumoniae subsp. pneumoniae
GCF_002852995.3	Klebsiella pneumoniae
GCF_002853435.2	Klebsiella pneumoniae subsp. pneumoniae
GCF_002893825.1	Klebsiella pneumoniae subsp. pneumoniae
GCF_002903005.1	Klebsiella pneumoniae
GCF_002903025.1	Klebsiella pneumoniae
GCF_002935085.1	Klebsiella pneumoniae
GCF_002944845.1	Klebsiella pneumoniae
GCF_002948565.1	Klebsiella pneumoniae
GCF_002951555.1	Klebsiella pneumoniae subsp. pneumoniae
GCF_002951595.1	Klebsiella pneumoniae subsp. pneumoniae
GCF_002951635.1	Klebsiella pneumoniae
GCF_002968475.1	Klebsiella pneumoniae
GCF_002968495.1	Klebsiella pneumoniae
GCF_002970375.3	Klebsiella pneumoniae subsp. pneumoniae
GCF_002970895.1	Klebsiella pneumoniae
GCF_003006175.1	Klebsiella pneumoniae
GCF_003010735.1	Klebsiella pneumoniae subsp. ozaenae
GCF_003030045.1	Klebsiella pneumoniae
GCF_003030145.1	Klebsiella pneumoniae
GCF_003031325.1	Klebsiella pneumoniae
GCF_003031345.1	Klebsiella pneumoniae
GCF_003037325.2	Klebsiella pneumoniae
GCF_003037615.2	Klebsiella pneumoniae subsp. pneumoniae
GCF_003038215.2	Klebsiella pneumoniae
GCF_003054385.1	Klebsiella pneumoniae
GCF_003069525.1	Klebsiella pneumoniae
GCF_003071305.1	Klebsiella pneumoniae
GCF_003073235.1	Klebsiella pneumoniae
GCF_003073315.1	Klebsiella pneumoniae
GCF_003073335.1	Klebsiella pneumoniae
GCF_003073675.1	Klebsiella pneumoniae
GCF_003074015.1	Klebsiella pneumoniae
GCF_003076555.1	Klebsiella pneumoniae
GCF_003181055.1	Klebsiella pneumoniae
GCF_003181095.1	Klebsiella pneumoniae
GCF_003181135.1	Klebsiella pneumoniae
GCF_003186535.1	Klebsiella pneumoniae
GCF_003194285.1	Klebsiella pneumoniae
GCF_003203435.1	Klebsiella pneumoniae
GCF_003204175.1	Klebsiella pneumoniae
GCF_003204465.1	Klebsiella pneumoniae
