Considering the following 229 assemblies for download:
GCF_000816425.1	Campylobacter lari RM16712
GCF_001017575.1	Campylobacter lari
GCF_900638335.1	Campylobacter lari
GCF_002220735.1	Campylobacter sputorum bv. faecalis CCUG 20703
GCF_002220755.1	Campylobacter sputorum bv. paraureolyticus LMG 11764
GCF_002220775.1	Campylobacter sputorum
GCF_002220795.1	Campylobacter sputorum bv. sputorum RM3237
GCF_001190745.1	Campylobacter gracilis
GCF_001190755.1	Campylobacter ureolyticus RIGS 9880
GCF_900637395.1	Campylobacter upsaliensis
GCF_002080395.1	Campylobacter helveticus
GCF_002139935.1	Campylobacter lanienae NCTC 13004
GCF_000017585.1	Campylobacter hominis ATCC BAA-381
GCF_000816185.1	Campylobacter insulaenigrae NCTC 12927
GCF_900637885.1	Campylobacter insulaenigrae
GCF_900638675.1	Campylobacter insulaenigrae
GCF_002104335.1	Campylobacter cuniculorum DSM 23162 = LMG 24588
GCF_000816785.1	Campylobacter peloridis LMG 23910
GCF_000816265.1	Campylobacter subantarcticus LMG 24374
GCF_000816305.1	Campylobacter subantarcticus LMG 24377
GCF_002238335.1	Campylobacter avium LMG 24591
GCF_000816345.1	Campylobacter volucris LMG 24379
GCF_000736415.1	Campylobacter iguaniorum
GCF_001483985.1	Campylobacter iguaniorum
GCF_001643995.1	Campylobacter iguaniorum
GCF_000816245.1	Campylobacter sp. RM16704
GCF_002139915.1	Campylobacter sp. NCTC 13003
GCF_002139855.1	Campylobacter sp. RM6137
GCF_002139895.1	Campylobacter sp. RM8964
GCF_002139875.1	Campylobacter sp. RM12175
GCF_001687475.2	Campylobacter hepaticus
GCF_002021925.1	Campylobacter pinnipediorum subsp. pinnipediorum
GCF_002021945.1	Campylobacter pinnipediorum subsp. pinnipediorum
GCF_002021965.1	Campylobacter pinnipediorum subsp. pinnipediorum
GCF_002021985.1	Campylobacter pinnipediorum subsp. caledonicus
GCF_002022005.1	Campylobacter pinnipediorum subsp. caledonicus
