Considering the following 462 assemblies for download:
GCF_001051095.1	Streptococcus pyogenes
GCF_001267805.1	Streptococcus pyogenes
GCF_001267845.1	Streptococcus pyogenes
GCF_001535565.1	Streptococcus pyogenes
GCF_001547715.1	Streptococcus pyogenes JRS4
GCF_001547835.1	Streptococcus pyogenes
GCF_001559175.2	Streptococcus pyogenes
GCF_001620285.1	Streptococcus pyogenes
GCF_001635895.1	Streptococcus pyogenes
GCF_001635935.1	Streptococcus pyogenes
GCF_001635975.1	Streptococcus pyogenes
GCF_001638845.2	Streptococcus pyogenes
GCF_001678885.1	Streptococcus pyogenes
GCF_002055535.1	Streptococcus pyogenes
GCF_002163545.1	Streptococcus pyogenes
GCF_002236855.1	Streptococcus pyogenes
GCF_002236875.1	Streptococcus pyogenes
GCF_002238295.1	Streptococcus pyogenes
GCF_002238315.1	Streptococcus pyogenes
GCF_002355175.1	Streptococcus pyogenes
GCF_002355815.1	Streptococcus pyogenes
GCF_002557755.1	Streptococcus pyogenes
GCF_002844355.1	Streptococcus pyogenes
GCF_003025365.1	Streptococcus pyogenes
GCF_003203475.1	Streptococcus pyogenes
GCF_003609955.1	Streptococcus pyogenes
GCF_003640605.1	Streptococcus pyogenes
GCF_003698205.1	Streptococcus pyogenes
GCF_003812645.1	Streptococcus pyogenes
GCF_003814365.1	Streptococcus pyogenes
GCF_003814385.1	Streptococcus pyogenes
GCF_004010855.1	Streptococcus pyogenes
GCF_004010875.1	Streptococcus pyogenes
GCF_900474455.1	Streptococcus pyogenes
GCF_900474645.1	Streptococcus pyogenes
GCF_900474745.1	Streptococcus pyogenes
GCF_900474765.1	Streptococcus pyogenes
GCF_900474775.1	Streptococcus pyogenes
GCF_900474795.1	Streptococcus pyogenes
GCF_900474815.1	Streptococcus pyogenes
GCF_900474825.1	Streptococcus pyogenes
GCF_900474835.1	Streptococcus pyogenes
GCF_900474845.1	Streptococcus pyogenes
GCF_900474855.1	Streptococcus pyogenes
GCF_900474865.1	Streptococcus pyogenes
GCF_900474885.1	Streptococcus pyogenes
GCF_900474895.1	Streptococcus pyogenes
GCF_900474915.1	Streptococcus pyogenes
GCF_900474925.1	Streptococcus pyogenes
GCF_900474935.1	Streptococcus pyogenes
GCF_900474945.1	Streptococcus pyogenes
GCF_900474955.1	Streptococcus pyogenes
GCF_900474965.1	Streptococcus pyogenes
GCF_900474975.1	Streptococcus pyogenes
